City,Country,Latitude,Longitude,Date,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Cloudiness,Max Temp,Wind Speed,Lat,Lng,Humidity
Lorengau,PG,,,1563683340,,,,,100.0,82.49,9.75,-2.02,147.27,80.0
Clyde River,CA,,,1563683341,,,,,90.0,37.4,12.75,70.47,-68.59,100.0
Batagay-Alyta,RU,,,1563683342,,,,,98.0,60.71,26.13,67.8,130.41,43.0
Saldanha,PT,,,1563682965,,,,,28.0,64.13,3.62,41.42,-6.55,68.0
Atuona,PF,,,1563682967,,,,,0.0,79.97,10.22,-9.8,-139.03,75.0
Raudeberg,NO,,,1563683345,,,,,100.0,59.0,8.05,61.99,5.14,93.0
Xuddur,SO,,,1563683346,,,,,95.0,69.53,15.32,4.12,43.89,80.0
Dakar,SN,,,1563683346,,,,,0.0,77.0,3.36,14.69,-17.45,83.0
Herat,AF,,,1563683350,,,,,0.0,95.0,13.87,34.35,62.22,12.0
Lompoc,US,,,1563683351,,,,,90.0,62.01,8.93,34.64,-120.46,93.0
Avarua,CK,,,1563683351,,,,,93.0,71.6,3.36,-21.21,-159.78,68.0
Naze,NG,,,1563683355,,,,,100.0,72.77,1.07,5.43,7.07,95.0
Hobart,AU,,,1563682839,,,,,20.0,59.0,27.51,-42.88,147.33,41.0
Tura,RU,,,1563683357,,,,,67.0,67.37,9.78,64.27,100.22,36.0
Sciacca,IT,,,1563683216,,,,,40.0,71.01,3.36,37.51,13.08,88.0
Saint Anthony,US,,,1563682974,,,,,1.0,71.6,8.05,43.97,-111.68,37.0
Airai,TL,,,1563683357,,,,,88.0,81.95,5.06,-8.93,125.41,45.0
Rikitea,PF,,,1563682980,,,,,0.0,67.55,7.81,-23.12,-134.97,51.0
Upernavik,GL,,,1563683026,,,,,100.0,44.51,4.34,72.79,-56.15,95.0
Busselton,AU,,,1563682912,,,,,100.0,64.0,27.69,-33.64,115.35,46.0
Ancud,CL,,,1563683022,,,,,75.0,37.4,5.82,-41.87,-73.83,100.0
Port Blair,IN,,,1563682915,,,,,40.0,80.6,4.7,11.67,92.75,88.0
Albany,US,,,1563682928,,,,,1.0,75.0,3.36,42.65,-73.75,88.0
Vaini,IN,,,1563682940,,,,,75.0,75.2,6.93,15.34,74.49,94.0
Ugoofaaru,MV,,,1563683317,,,,,100.0,83.39,19.51,5.67,73.0,76.0
Boende,CD,,,1563683361,,,,,83.0,70.07,1.63,-0.28,20.88,95.0
Andilamena,MG,,,1563683365,,,,,0.0,55.85,0.96,-17.01,48.57,94.0
